,Country,Time,Total Land (m2),Forest (%),Agriculture (%)
74,Fragile and conflict affected situations,1990,19934338.270999998,29.007798832452604,30.390069631515605
75,Finland,1990,304590.0,71.818936931613,7.85646278604025
76,Fiji,1990,18270.0,51.4334975369458,22.4411603721949
77,France,1990,547566.0,26.3639451682537,55.8705251969626
78,Faroe Islands,1990,1396.0,0.0573065902578797,2.14899713467049
79,"Micronesia, Fed. Sts.",1990,,,
80,Gabon,1990,257670.0,92.2172546280126,7.7827453719874296
81,United Kingdom,1990,241930.0,11.4826602736329,75.24077212416809
82,Georgia,1990,69490.0,39.602820549719404,
83,Ghana,1990,227540.0,43.615452228179706,55.3968533005186
84,Gibraltar,1990,10.0,0.0,
85,Guinea,1990,245720.0,29.610939280481897,57.5492430408595
86,"Gambia, The",1990,10120.0,40.9743083003953,57.9051383399209
87,Guinea-Bissau,1990,28120.0,79.4214082503556,51.4580369843528
88,Equatorial Guinea,1990,28050.0,96.22638146167559,11.9073083778966
89,Greece,1990,128900.0,25.59,71.5438324282389
90,Grenada,1990,340.0,52.05882352941179,38.2352941176471
91,Greenland,1990,341700.0,0.0006438396254024,0.6930055604331279
92,Guatemala,1990,107160.0,44.6173945502053,39.9869354236655
93,Guam,1990,540.0,44.4444444444444,37.037037037037
94,Guyana,1990,196850.0,94.49911099822201,5.500889001778001
95,High income,1990,34876599.427,28.620244636403605,38.0607128064228
96,"Hong Kong SAR, China",1990,990.0,,8.08080808080808
97,Honduras,1990,111890.0,62.452229868621,29.671999285012102
98,Heavily indebted poor countries (HIPC),1990,19960174.270999998,34.041646172816804,35.0161185340786
99,Croatia,1990,55910.0,33.088892863530695,
100,Haiti,1990,27560.0,13.894049346879498,57.9462989840348
101,Hungary,1990,89870.0,20.1835985312118,72.0373873372649
102,IBRD only,1990,71062979.0,35.224688186798396,40.4807872551762
103,IDA & IBRD total,1990,96028573.271,34.3690609177505,39.2146621343772
104,IDA total,1990,24965594.270999998,31.6634824512621,36.2698442586266
105,IDA blend,1990,4369370.0,31.045830405756398,40.060771253331
106,Indonesia,1990,1811570.0,65.4377142478624,24.8861484789437
107,IDA only,1990,20596224.270999998,31.8125518670366,35.4237623834093
108,Isle of Man,1990,570.0,6.070175438596491,69.4736842105263
109,India,1990,2973190.0,21.5048483278902,61.0162821750376
110,Not classified,1990,,,
111,Ireland,1990,68890.0,6.70111772390768,82.00029031789809
112,"Iran, Islamic Rep.",1990,1628760.0,5.57237407598418,37.758785824799205
113,Iraq,1990,437370.0,1.8382605116948998,21.1034135857512
114,Iceland,1990,100250.0,0.17027431421446398,18.9625935162095
115,Israel,1990,21640.0,6.09981515711645,26.7560073937153
116,Italy,1990,294110.0,25.8058209513447,57.257488694706105
117,Jamaica,1990,10830.0,48.132963988919705,43.9519852262235
118,Jordan,1990,88240.0,1.10494106980961,11.7883046237534
119,Japan,1990,364600.0,68.4311574328031,15.614371914426801
120,Kazakhstan,1990,2699700.0,1.26754824610142,
121,Kenya,1990,569140.0,6.77959728713498,47.0358786941702
122,Kyrgyz Republic,1990,191800.0,4.35870698644421,
123,Cambodia,1990,176520.0,62.3430206208928,25.237933378654
124,Kiribati,1990,810.0,1.4567901234567902,48.148148148148096
125,St. Kitts and Nevis,1990,260.0,42.3076923076923,46.15384615384621
126,"Korea, Rep.",1990,96460.0,67.91416131038771,22.5896744764669
127,Kuwait,1990,17820.0,0.19360269360269397,7.91245791245791
128,Latin America & Caribbean (excluding high income),1990,18243080.0,54.8558039541569,34.0975970066458
129,Lao PDR,1990,230800.0,77.3093587521664,7.19237435008666
130,Lebanon,1990,10230.0,13.655913978494599,59.1397849462366
131,Liberia,1990,96320.0,88.5095514950166,25.8824750830565
132,Libya,1990,1759540.0,0.123327687918433,8.78354569944417
133,St. Lucia,1990,610.0,34.8688524590164,34.2622950819672
134,Latin America & Caribbean,1990,20071224.4,53.3095196698813,33.6465175191767
135,Least developed countries: UN classification,1990,20352897.270999998,33.829951122298105,35.460444542384295
136,Low income,1990,14924643.271,26.564750962165103,36.3372599412265
137,Liechtenstein,1990,160.0,40.625,43.75
138,Sri Lanka,1990,62710.0,37.4793493860628,37.2986764471376
139,Lower middle income,1990,25540614.0,29.3908837469578,39.1063643587054
140,Low & middle income,1990,94093491.271,34.3298170338299,39.3825915693381
141,Lesotho,1990,30360.0,1.13702239789196,76.44927536231879
142,Late-demographic dividend,1990,44583045.0,39.87160381037229,
143,Lithuania,1990,62680.0,31.0306317804722,
144,Luxembourg,1990,,,
145,Latvia,1990,62196.0,51.016142517203704,
146,"Macao SAR, China",1990,20.0,,
147,St. Martin (French part),1990,54.4,18.3823529411765,
148,Morocco,1990,446300.0,12.290589289715399,67.9879005153484
149,Monaco,1990,2.0269999999999997,0.0,
150,Moldova,1990,32870.0,9.704898083358689,
151,Madagascar,1990,581540.0,23.5468755373663,62.4634590913781
152,Maldives,1990,300.0,2.7333333333333303,26.6666666666667
153,Middle East & North Africa,1990,11226230.0,1.8235077047168702,29.625635676447
154,Mexico,1990,1943950.0,36.313511149978105,54.0914118161475
155,Marshall Islands,1990,,,
156,Middle income,1990,79168848.0,35.5504519235901,40.0343694789039
157,North Macedonia,1990,25430.0,35.863153755407,
158,Mali,1990,1220190.0,10.896663634352,26.3303256050287
159,Malta,1990,320.0,1.09375,40.625
160,Myanmar,1990,653540.0,60.009303179606505,15.9561771276433
161,Middle East & North Africa (excluding high income),1990,8643940.0,2.21080860116147,23.940031976159002
162,Montenegro,1990,13450.0,46.542750929368,
163,Mongolia,1990,1553560.0,9.23813692422565,80.88261798707491
164,Northern Mariana Islands,1990,,,
165,Mozambique,1990,786380.0,55.1616266944734,44.8383733055266
166,Mauritania,1990,1030700.0,0.46186087125254704,38.4748229358688
167,Mauritius,1990,2030.0,20.2315270935961,54.679802955665
168,Malawi,1990,94280.0,37.1414934238439,44.7390750954603
169,Malaysia,1990,328550.0,62.756049307563494,20.564906406939603
170,North America,1990,18124604.0,35.9027943451896,26.9441086823194
171,Namibia,1990,823290.0,10.6513743638329,46.9603663350703
172,New Caledonia,1990,18280.0,45.4666301969365,12.691466083150999
173,Niger,1990,1266700.0,1.53548590826557,26.0890502881503
174,Nigeria,1990,910770.0,29.124905299911102,67.619706402275
175,Nicaragua,1990,120340.0,53.17699850423801,33.4469004487286
176,Netherlands,1990,33760.0,10.228969194312802,59.419431279620895
177,Norway,1990,365244.0,33.2161513946841,2.67218626452454
178,Nepal,1990,143000.0,39.6643356643357,28.9818181818182
179,Nauru,1990,20.0,0.0,20.0
180,New Zealand,1990,263310.0,35.594052637575494,61.4560783866925
181,OECD members,1990,35512437.0,32.3458556505148,38.728213888196294
182,Oman,1990,309500.0,0.00969305331179321,3.4894991922455603
183,Other small states,1990,2039234.0,31.518261268692104,38.917118837709495
184,Pakistan,1990,770880.0,0.18775944375259399,45.6698837691988
185,Panama,1990,74340.0,61.9774011299435,28.571428571428598
186,Peru,1990,1280000.0,59.725421875,17.059375
187,Philippines,1990,298170.0,26.088506556662303,37.361236878290896
188,Palau,1990,,,
189,Papua New Guinea,1990,452860.0,80.3773351587687,1.93658084176125
190,Poland,1990,306290.0,28.998661399327396,61.35688399882461
191,Pre-demographic dividend,1990,20272964.270999998,33.0625579662235,36.6198764983301
192,Puerto Rico,1990,8870.0,36.1138669673055,49.0417136414882
193,"Korea, Dem. People's Rep.",1990,120410.0,57.4041192591977,20.9118843949838
194,Portugal,1990,91500.0,37.1475409836066,43.3114754098361
195,Paraguay,1990,397300.0,64.29866599546939,35.7013340045306
196,West Bank and Gaza,1990,6020.0,1.50830563516712,62.2923588039867
197,Pacific island small states,1990,62860.0,65.4495704740693,12.0489977728285
198,Post-demographic dividend,1990,31355209.0,31.4130275788579,37.6574925478784
199,French Polynesia,1990,3660.0,39.46174863387979,11.748633879781401
200,Qatar,1990,11610.0,0.0,5.25409130060293
201,Romania,1990,229350.0,27.778504469151898,64.3950294310007
202,Russian Federation,1990,16389950.0,49.3564653949524,
203,Rwanda,1990,24670.0,12.8496149169031,76.1653830563437
204,South Asia,1990,4779833.0,16.2644552644412,56.9037453818993
205,Saudi Arabia,1990,2149690.0,0.45448413492177897,57.4413054905591
206,Sudan,1990,2481353.2709999997,,
207,Senegal,1990,192530.0,48.32057341712979,46.0655482262504
208,Singapore,1990,670.0,22.129701492537304,2.98507462686567
209,Solomon Islands,1990,27990.0,90.9221150410861,2.42943908538764
210,Sierra Leone,1990,72180.0,43.318093654752,39.1382654474924
211,El Salvador,1990,20720.0,34.6949806949807,65.30501930501929
212,San Marino,1990,60.0,16.6666666666667,16.6666666666667
213,Somalia,1990,627340.0,13.2025695794944,70.2043548952721
214,Serbia,1990,87460.0,28.3100846101075,
215,Sub-Saharan Africa (excluding high income),1990,23823284.270999998,33.025335898612,40.0224627630493
216,South Sudan,1990,,,
217,Sub-Saharan Africa,1990,23823744.270999998,33.0262031091081,40.0217843548946
218,Small states,1990,2506944.0,42.037041912384204,32.601517520268395
219,Sao Tome and Principe,1990,960.0,61.0625,43.75
220,Suriname,1990,156000.0,98.5745512820513,0.564102564102564
221,Slovak Republic,1990,48100.0,39.95841995842,
222,Slovenia,1990,20140.0,58.987090367427996,
223,Sweden,1990,410340.0,68.3896281132719,8.31749281083979
224,Eswatini,1990,17200.0,26.8104651162791,71.97674418604649
225,Sint Maarten (Dutch part),1990,34.0,,
226,Seychelles,1990,460.0,73.2608695652174,8.69565217391304
227,Syrian Arab Republic,1990,183780.0,2.02459462400696,73.430188268582
228,Turks and Caicos Islands,1990,950.0,11.073684210526302,1.0526315789473701
229,Chad,1990,1259200.0,5.34466327827192,38.357687420584504
230,East Asia & Pacific (IDA & IBRD countries),1990,15844350.0,28.825106110380002,46.819970525771
231,Europe & Central Asia (IDA & IBRD countries),1990,23000614.0,38.683638131066104,
232,Togo,1990,54390.0,25.035116749402498,58.650487221915796
233,Thailand,1990,510890.0,37.8966117951027,41.8544109299458
234,Tajikistan,1990,139960.0,2.9151186053158,
235,Turkmenistan,1990,469930.0,8.78215904496414,
236,Latin America & the Caribbean (IDA & IBRD countries),1990,19942112.0,53.5055685175171,33.5008744309529
237,Timor-Leste,1990,14870.0,64.7679892400807,21.385339609952897
238,Middle East & North Africa (IDA & IBRD countries),1990,8637920.0,2.2112981944727403,23.9133032026229
239,Tonga,1990,720.0,12.430555555555598,44.4444444444444
240,South Asia (IDA & IBRD),1990,4779833.0,16.2644552644412,56.9037453818993
241,Sub-Saharan Africa (IDA & IBRD countries),1990,23823744.270999998,33.0262031091081,40.0217843548946
242,Trinidad and Tobago,1990,5130.0,47.185185185185205,15.009746588694
243,Tunisia,1990,155360.0,4.1450624356333705,55.6385169927909
244,Turkey,1990,769630.0,25.7051830100178,51.5533438145603
245,Tuvalu,1990,30.0,33.3333333333333,66.6666666666667
246,Tanzania,1990,885800.0,64.78890268683679,35.2110973131632
247,Uganda,1990,199810.0,17.8943496321505,59.8668735298534
248,Ukraine,1990,579350.0,16.007594718218698,
249,Upper middle income,1990,53628234.0,38.4845611626401,
250,Uruguay,1990,175020.0,4.55947891669523,85.2302593989258
251,United States,1990,9158960.0,33.0223082096657,46.61533623904899
252,Uzbekistan,1990,425400.0,7.1579689703808205,
253,St. Vincent and the Grenadines,1990,390.0,70.6153846153846,27.128205128205103
254,"Venezuela, RB",1990,882050.0,58.9830508474576,24.7831755569412
255,British Virgin Islands,1990,150.0,24.733333333333302,53.3333333333333
256,Virgin Islands (U.S.),1990,350.0,70.11428571428571,28.571428571428598
257,Vietnam,1990,325490.0,28.8056775937817,20.6642293158008
258,Vanuatu,1990,12190.0,36.2838392124692,12.4692370795734
259,World,1990,129852140.698,31.6245086168632,38.827634948382396
260,Samoa,1990,2830.0,62.2367491166078,19.081272084805697
261,Kosovo,1990,10887.0,,
262,"Yemen, Rep.",1990,527970.0,1.0398318086254899,44.7487546640908
263,South Africa,1990,1213090.0,14.955271249453899,78.8070134944646
264,Zambia,1990,743390.0,63.778097633812706,27.9947268593874
265,Zimbabwe,1990,386850.0,48.666614967041504,33.6306061781052
266,Aruba,1991,180.0,2.3333333333333304,11.1111111111111
267,Africa Eastern and Southern,1991,14777964.271,40.403946371890605,42.6992650880714
268,Afghanistan,1991,652860.0,1.85099408755323,58.2513862083755
269,Africa Western and Central,1991,9045780.0,22.6587456692513,35.4570376462837
270,Angola,1991,1246700.0,63.45340739552421,36.5465926044758
271,Albania,1991,27400.0,28.717153284671504,41.1313868613139
272,Andorra,1991,470.0,34.0425531914894,48.936170212766
273,Arab World,1991,13716764.271,1.77971034614788,31.639376610254804
274,United Arab Emirates,1991,71020.0,3.54045339341031,4.36496761475641
275,Argentina,1991,2736690.0,12.796991986670001,46.6475925296617
276,Armenia,1991,28470.0,11.7527221636811,
277,American Samoa,1991,200.0,90.18,15.0
278,Antigua and Barbuda,1991,440.0,22.8272727272727,20.4545454545455
279,Australia,1991,7682300.0,17.4004386707106,60.2400322819989
280,Austria,1991,82580.0,45.7970089610075,36.7752482441269
281,Azerbaijan,1991,83217.0,10.2839564031388,
282,Burundi,1991,25680.0,10.4449376947041,82.1651090342679
283,Belgium,1991,32820.0,23.226081657525896,43.3577087141987
284,Benin,1991,112760.0,42.2592231287691,20.219936147570102
285,Burkina Faso,1991,273600.0,28.021162280701798,34.9049707602339
286,Bangladesh,1991,130170.0,14.7524759929323,79.2809403088269
287,Bulgaria,1991,110630.0,30.1166048992136,55.690138298833894
288,Bahrain,1991,690.0,0.34057971014492794,11.594202898550698
289,"Bahamas, The",1991,10010.0,50.9350649350649,1.1988011988012
290,Bosnia and Herzegovina,1991,51200.0,43.06640625,
291,Belarus,1991,202840.0,38.8414513902583,
292,Belize,1991,22810.0,69.5290223586146,5.6992547128452395
293,Bermuda,1991,54.0,18.5185185185185,5.55555555555556
294,Bolivia,1991,1083300.0,53.11029908612571,33.043478260869605
295,Brazil,1991,8358140.0,70.0056543680771,27.9344686736523
296,Barbados,1991,430.0,14.651162790697699,44.1860465116279
297,Brunei Darussalam,1991,5270.0,78.0645161290323,2.08728652751423
298,Bhutan,1991,46723.0,53.8631509106864,10.786978575862
299,Botswana,1991,566730.0,32.970550350254996,45.70253912797979
300,Central African Republic,1991,622980.0,37.197020771132294,8.03878134129507
301,Canada,1991,8965590.0,38.8402585886707,6.8632679388640305
302,Central Europe and the Baltics,1991,1104936.0,31.983415329032603,
303,Switzerland,1991,39529.0,29.289078904095696,40.4993802018771
304,Channel Islands,1991,198.0,4.191919191919189,42.9292929292929
305,Chile,1991,743532.0,20.5816978959883,21.23513177644
306,China,1991,9424670.0,16.8840485661567,54.35426386281961
307,Cote d'Ivoire,1991,318000.0,23.821443396226396,59.591194968553495
308,Cameroon,1991,472710.0,47.4069704469971,19.3564764866409
309,"Congo, Dem. Rep.",1991,2267050.0,66.1458723892283,11.4598266469641
310,"Congo, Rep.",1991,341500.0,65.30893118594439,30.814055636896
311,Colombia,1991,1109500.0,58.346891392519204,40.4542586750789
312,Comoros,1991,1861.0,24.514777001612,61.257388500805995
313,Cabo Verde,1991,4030.0,4.420347394540941,16.8734491315136
314,Costa Rica,1991,51060.0,56.8425773599687,43.1574226400313
315,Caribbean small states,1991,404850.0,91.32985797208842,4.877517599110781
316,Cuba,1991,107400.0,19.513035381750502,62.89571694599629
317,Curacao,1991,444.0,,
318,Cayman Islands,1991,240.0,54.625,11.25
319,Cyprus,1991,9240.0,17.5497835497835,17.2294372294372
320,Czech Republic,1991,77270.0,34.0235537724861,
321,Germany,1991,349130.0,32.381634348237,49.082003838111895
322,Djibouti,1991,23180.0,0.24158757549611698,57.6358930112166
323,Dominica,1991,750.0,66.7546666666667,24.0
324,Denmark,1991,42390.0,12.631658410002402,65.3456003774475
325,Dominican Republic,1991,48310.0,33.7952390809356,52.701304077830706
326,Algeria,1991,2381740.0,0.696213692510518,16.2158757882892
327,East Asia & Pacific (excluding high income),1991,15965820.0,29.029552982559,46.805300322814595
328,Early-demographic dividend,1991,33246613.0,25.3799819187574,38.2370392858437
329,East Asia & Pacific,1991,24438270.0,26.209530105299397,50.543958753184
330,Europe & Central Asia (excluding high income),1991,22638524.0,38.8343739560609,
331,Europe & Central Asia,1991,27390145.027,37.656374978579706,
332,Ecuador,1991,276840.0,52.5286772142754,28.5869094061552
333,"Egypt, Arab Rep.",1991,995450.0,0.0455572856497062,2.6550806168064702
334,Euro area,1991,2678352.0,34.4734870173898,49.376751543077205
335,Eritrea,1991,101000.0,16.4253465346535,
336,Spain,1991,499440.0,28.479070559026102,60.810107320198604
337,Estonia,1991,42390.0,52.040575607454606,
338,Ethiopia,1991,1101000.0,18.4672116257947,51.006357856494105
339,European Union,1991,4000512.0,36.4568874934008,47.612358081031395
340,Fragile and conflict affected situations,1991,19935218.270999998,28.8820146766179,30.6280085461122
341,Finland,1991,304590.0,72.00617551462621,7.96086542565416
342,Fiji,1991,18270.0,51.7990147783251,23.207443897099104
343,France,1991,547566.0,26.5195428496291,55.673471325831
344,Faroe Islands,1991,1396.0,0.0573065902578797,2.14899713467049
345,"Micronesia, Fed. Sts.",1991,700.0,90.86857142857141,32.1428571428571
346,Gabon,1991,257670.0,92.1933403190127,7.806659680987309
347,United Kingdom,1991,241930.0,11.5554085892614,74.99276650270741
348,Georgia,1991,69490.0,39.602820549719404,
349,Ghana,1991,227540.0,43.14272215874129,55.9022589434825
350,Gibraltar,1991,10.0,0.0,
351,Guinea,1991,245720.0,29.4697216343806,57.1748331434153
352,"Gambia, The",1991,10120.0,40.4078063241107,58.498023715415
353,Guinea-Bissau,1991,28120.0,79.12108819345659,51.4580369843528
354,Equatorial Guinea,1991,28050.0,95.928449197861,11.9073083778966
355,Greece,1991,128900.0,25.8240411171451,71.09387121799851
356,Grenada,1991,340.0,52.05882352941179,35.2941176470588
357,Greenland,1991,341700.0,0.0006438396254024,0.693883523558677
358,Guatemala,1991,107160.0,44.0836132885405,39.9869354236655
359,Guam,1991,540.0,44.4444444444444,37.037037037037
360,Guyana,1991,196850.0,94.47984251968501,5.5201574803149605
361,High income,1991,34877519.427,28.6408158244473,37.9178233020034
362,"Hong Kong SAR, China",1991,990.0,,8.08080808080808
363,Honduras,1991,111890.0,62.264983465903995,29.868620967021197
364,Heavily indebted poor countries (HIPC),1991,19960174.270999998,33.877745896019,35.0559861906737
365,Croatia,1991,55910.0,33.088892863530695,
366,Haiti,1991,27560.0,13.8858127721335,57.9100145137881
367,Hungary,1991,89870.0,20.3029598308668,71.8816067653277
368,IBRD only,1991,71063549.0,35.155571284513194,40.3674940201036
369,IDA & IBRD total,1991,96030023.271,34.3332918463548,39.179399125523894
370,IDA total,1991,24966474.270999998,31.7332434911908,36.4161490657369
371,IDA blend,1991,4369370.0,32.0730967164603,40.7439762472838
372,Indonesia,1991,1811570.0,64.4846735152382,22.921554231964503
373,IDA only,1991,20597104.270999998,31.6512244002496,35.4502866778059
374,Isle of Man,1991,570.0,6.070175438596491,70.1754385964912
375,India,1991,2973190.0,21.6277129951332,61.0744688365022
376,Not classified,1991,,,
377,Ireland,1991,68890.0,6.946029902743501,64.4796051676586
378,"Iran, Islamic Rep.",1991,1628760.0,5.58769861735308,38.677889928534604
379,Iraq,1991,437370.0,1.84146146283467,22.0179710542561
380,Iceland,1991,100250.0,0.18300249376558603,18.9625935162095
381,Israel,1991,21640.0,6.1968576709796706,26.7097966728281
382,Italy,1991,294110.0,26.0708578423039,54.585019210499496
383,Jamaica,1991,10830.0,48.13037857802399,43.9519852262235
384,Jordan,1991,88240.0,1.10494106980961,11.450589301903902
385,Japan,1991,364600.0,68.41086121777289,15.507405375754301
386,Kazakhstan,1991,2699700.0,1.26754824610142,
387,Kenya,1991,569140.0,6.79763327125136,47.2238816459922
388,Kyrgyz Republic,1991,191800.0,4.35870698644421,
389,Cambodia,1991,176520.0,62.2162417856334,25.5495128030818
390,Kiribati,1991,810.0,1.4567901234567902,48.148148148148096
391,St. Kitts and Nevis,1991,260.0,42.3076923076923,46.15384615384621
392,"Korea, Rep.",1991,96460.0,67.83640887414471,22.4030686294837
393,Kuwait,1991,17820.0,0.201459034792368,7.91245791245791
394,Latin America & Caribbean (excluding high income),1991,18243080.0,54.565911348303004,34.1140126557577
395,Lao PDR,1991,230800.0,77.1282495667244,7.20103986135182
396,Lebanon,1991,10230.0,13.641055718475098,59.2375366568915
397,Liberia,1991,96320.0,88.19539036544849,11.804609634551499
398,Libya,1991,1759540.0,0.123327687918433,8.78638735123953
399,St. Lucia,1991,610.0,34.8262295081967,32.4590163934426
400,Latin America & Caribbean,1991,20071224.4,53.03788109245401,33.655459512806
401,Least developed countries: UN classification,1991,20352897.270999998,33.6833376120161,34.808987670833304
402,Low income,1991,14924643.271,26.4446016608148,36.3341827164975
403,Liechtenstein,1991,160.0,40.75,43.75
404,Sri Lanka,1991,62710.0,37.1860787753149,37.3465157072237
405,Lower middle income,1991,25541314.0,29.4455747891406,38.7276322088789
406,Low & middle income,1991,94094481.271,34.294664334685,39.3489753226948
407,Lesotho,1991,30360.0,1.13702239789196,76.5151515151515
408,Late-demographic dividend,1991,44583155.0,39.8309534666176,
409,Lithuania,1991,62680.0,31.0306317804722,
410,Luxembourg,1991,,,
411,Latvia,1991,62196.0,51.016142517203704,
412,"Macao SAR, China",1991,20.0,,
413,St. Martin (French part),1991,54.4,18.3823529411765,
414,Morocco,1991,446300.0,12.295350660990401,68.0147882590186
415,Monaco,1991,2.0269999999999997,0.0,
416,Moldova,1991,32870.0,9.704898083358689,
417,Madagascar,1991,581540.0,23.4329057330536,62.5064483956392
418,Maldives,1991,300.0,2.7333333333333303,26.6666666666667
419,Middle East & North Africa,1991,11226230.0,1.8269067353798798,29.862865806241302
420,Mexico,1991,1943950.0,36.199809665886505,54.60737158877539
421,Marshall Islands,1991,180.0,52.22222222222221,66.6666666666667
422,Middle income,1991,79169838.0,35.528644890707604,39.994206033061296
423,North Macedonia,1991,25430.0,35.863153755407,
424,Mali,1991,1220190.0,10.896663634352,26.338521050000402
425,Malta,1991,320.0,1.09375,40.625
426,Myanmar,1991,653540.0,59.343640787097996,15.9378155889464
427,Middle East & North Africa (excluding high income),1991,8643940.0,2.21421680390235,24.223259300735503
428,Montenegro,1991,13450.0,46.542750929368,
429,Mongolia,1991,1553560.0,9.232466077911381,81.18772367980641
430,Northern Mariana Islands,1991,460.0,72.7065217391304,8.69565217391304
431,Mozambique,1991,786380.0,54.8831353798418,45.1168646201582
432,Mauritania,1991,1030700.0,0.456582904821966,38.4845250800427
433,Mauritius,1991,2030.0,20.273891625615803,54.187192118226605
434,Malawi,1991,94280.0,36.6960118795079,45.8209588459907
435,Malaysia,1991,328550.0,62.4738548166185,20.6802617562015
436,North America,1991,18124604.0,35.9061877434674,26.951294847600497
437,Namibia,1991,823290.0,10.565124561211698,46.9603663350703
438,New Caledonia,1991,18280.0,45.5033916849015,12.527352297593
439,Niger,1991,1266700.0,1.4867845583011001,26.924291466014104
440,Nigeria,1991,910770.0,28.9456009749992,70.19225490519011
441,Nicaragua,1991,120340.0,52.346019611101894,33.7377430613262
